game_name,month,total_ticket_sales,total_ticket_sales_count,year,zip_code
Pick 4,January,85487.5,"120,062",2017,60085
Pick4 Fireball,January,20200.0,"29,317",2017,60085
Powerball,January,32258.0,"9,767",2017,60085
EZ Match,January,2706.0,"2,706",2017,60087
Instant Rollup,January,505200.0,Not Tracked,2017,60087
Lotto,January,17690.0,"6,180",2017,60087
Lucky Day Lotto,January,27298.0,"13,008",2017,60087
Mega Millions ,January,22964.0,"8,265",2017,60087
Pick 3,January,43695.0,"42,716",2017,60087
Pick3 Fireball,January,9518.5,"10,607",2017,60087
Pick 4,January,40670.5,"52,252",2017,60087
Pick4 Fireball,January,13910.5,"17,887",2017,60087
Powerball,January,23048.0,"5,818",2017,60087
EZ Match,January,3464.0,"3,464",2017,60089
Instant Rollup,January,396750.0,Not Tracked,2017,60089
Lotto,January,30655.0,"9,051",2017,60089
Lucky Day Lotto,January,33715.0,"14,800",2017,60089
Mega Millions ,January,36330.0,"12,647",2017,60089
Pick 3,January,10523.5,"10,021",2017,60089
Pick3 Fireball,January,3668.5,"3,711",2017,60089
Pick 4,January,7699.0,"8,803",2017,60089
Pick4 Fireball,January,3351.5,"4,177",2017,60089
Powerball,January,33572.0,"8,108",2017,60089
EZ Match,January,1581.0,"1,581",2017,60090
